category,dayofweek,binofday,count,max,mean,min,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99,stdev
IVT,2.0,20.0,13.0,14.0,7.3076923076923075,2.0,8.0,8.0,8.2,8.8,9.399999999999999,10.0,10.0,10.2,10.8,12.199999999999996,13.099999999999998,13.639999999999997,3.637412436165196
IVT,2.0,21.0,13.0,11.0,8.076923076923077,5.0,8.0,8.0,8.2,8.8,9.399999999999999,10.0,10.0,10.0,10.0,10.399999999999999,10.7,10.879999999999999,1.8466879569262395
IVT,2.0,22.0,13.0,11.0,7.923076923076923,4.0,8.0,8.600000000000001,9.0,9.0,9.0,9.0,9.600000000000001,10.0,10.0,10.399999999999999,10.7,10.879999999999999,2.139374459257443
IVT,2.0,23.0,13.0,16.0,8.461538461538462,4.0,9.0,9.0,9.0,9.0,9.399999999999999,10.0,10.0,10.2,10.8,12.999999999999993,14.499999999999996,15.399999999999995,3.0988004296120955
IVT,2.0,24.0,13.0,11.0,7.153846153846154,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.200000000000003,9.2,9.8,10.399999999999999,10.7,10.879999999999999,1.863963243832608
IVT,2.0,25.0,13.0,13.0,9.23076923076923,4.0,9.0,9.600000000000001,10.2,10.8,11.0,11.0,11.0,11.2,11.8,12.399999999999999,12.7,12.879999999999999,2.454718115312027
IVT,2.0,26.0,13.0,11.0,8.153846153846153,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.600000000000001,10.0,10.0,10.399999999999999,10.7,10.879999999999999,1.9081471748860581
IVT,2.0,27.0,13.0,14.0,8.538461538461538,4.0,9.0,9.0,9.2,9.8,10.0,10.0,10.600000000000001,11.2,11.8,12.799999999999997,13.399999999999999,13.759999999999998,2.9330128030003735
IVT,2.0,28.0,13.0,10.0,5.769230769230769,3.0,5.0,5.6000000000000005,6.199999999999999,6.800000000000001,7.0,7.0,7.0,7.199999999999999,7.800000000000001,8.799999999999997,9.399999999999999,9.759999999999998,1.964427234329223
IVT,2.0,29.0,13.0,14.0,8.923076923076923,5.0,8.0,9.200000000000001,10.0,10.0,10.399999999999999,11.0,11.0,11.0,11.0,12.199999999999996,13.099999999999998,13.639999999999997,2.465141593686471
IVT,2.0,30.0,13.0,10.0,6.3076923076923075,3.0,6.0,6.6000000000000005,7.0,7.0,7.0,7.0,7.600000000000001,8.399999999999999,9.600000000000001,10.0,10.0,10.0,2.1363760352762244
IVT,2.0,31.0,13.0,11.0,5.923076923076923,3.0,5.0,5.0,5.199999999999999,5.800000000000001,6.399999999999999,7.0,8.200000000000003,9.2,9.8,10.399999999999999,10.7,10.879999999999999,2.5968422639024
IVT,2.0,32.0,13.0,11.0,6.615384615384615,3.0,6.0,6.6000000000000005,7.0,7.0,7.399999999999999,8.0,8.0,8.2,8.8,9.799999999999997,10.399999999999999,10.759999999999998,2.0631069425529684
IVT,2.0,33.0,13.0,10.0,6.0,1.0,7.0,7.0,7.199999999999999,7.800000000000001,8.0,8.0,8.0,8.2,8.8,9.399999999999999,9.7,9.879999999999999,2.798809270624444
IVT,2.0,34.0,13.0,8.0,4.769230769230769,2.0,4.0,5.200000000000001,6.0,6.0,6.0,6.0,6.0,6.199999999999999,6.800000000000001,7.399999999999999,7.699999999999999,7.879999999999999,1.8327504901034293
IVT,2.0,35.0,13.0,10.0,5.230769230769231,4.0,5.0,5.0,5.0,5.0,5.399999999999999,6.0,6.0,6.199999999999999,6.800000000000001,8.199999999999996,9.099999999999998,9.639999999999997,1.7394369852458085
IVT,2.0,36.0,13.0,6.0,2.769230769230769,0.0,2.0,3.200000000000001,4.0,4.0,4.0,4.0,4.0,4.199999999999999,4.800000000000001,5.399999999999999,5.699999999999999,5.879999999999999,1.832750490103429
IVT,2.0,37.0,13.0,5.0,2.3846153846153846,0.0,2.0,2.6000000000000005,3.0,3.0,3.0,3.0,3.6000000000000014,4.199999999999999,4.800000000000001,5.0,5.0,5.0,1.6092680291808414
IVT,2.0,38.0,13.0,7.0,2.076923076923077,0.0,1.0,1.6000000000000005,2.0,2.0,2.3999999999999986,3.0,3.6000000000000014,4.0,4.0,5.199999999999996,6.099999999999998,6.639999999999997,1.9774368283857793
IVT,2.0,39.0,13.0,3.0,1.3076923076923077,0.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.0,2.0,2.0,2.0,2.0,2.3999999999999986,2.6999999999999993,2.879999999999999,0.8548504142651104
IVT,2.0,40.0,13.0,3.0,0.8461538461538461,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6000000000000014,2.0,2.0,2.3999999999999986,2.6999999999999993,2.879999999999999,0.9870962335856491
IVT,2.0,41.0,13.0,3.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000014,1.0,1.0,1.7999999999999972,2.3999999999999986,2.759999999999998,0.869718492622904
IVT,2.0,42.0,13.0,3.0,0.6153846153846154,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.3999999999999986,2.6999999999999993,2.879999999999999,0.9607689228305227
IVT,2.0,43.0,13.0,3.0,0.6153846153846154,0.0,0.0,0.0,0.1999999999999993,0.8000000000000007,1.0,1.0,1.0,1.1999999999999993,1.8000000000000007,2.3999999999999986,2.6999999999999993,2.879999999999999,0.9607689228305227
