PatType,TheDateTime,Arrivals,Exits,Occupancy,DayType,TheWeekDay,TheTime,TheDate,UsedIt,deltaArr,deltaExit,deltaOcc
ART,35074.58333,0,1,0.75,Weekday,4,0.583333333,35074,-1,0,0,0
ART,35074.625,0,0,0,Weekday,4,0.625,35074,-1,0,0,0
ART,35074.66667,0,0,0,Weekday,4,0.666666667,35074,-1,0,0,0
ART,35074.70833,0,0,0,Weekday,4,0.708333333,35074,-1,0,0,0
ART,35074.75,0,0,0,Weekday,4,0.75,35074,-1,0,0,0
ART,35074.79167,0,0,0,Weekday,4,0.791666667,35074,-1,0,0,0
ART,35074.83333,0,0,0,Weekday,4,0.833333333,35074,-1,0,0,0
ART,35074.875,0,0,0,Weekday,4,0.875,35074,-1,0,0,0
ART,35074.91667,0,0,0,Weekday,4,0.916666667,35074,-1,0,0,0
ART,35074.95833,0,0,0,Weekday,4,0.958333333,35074,-1,0,0,0
ART,35075,0,0,0,Weekday,5,0,35075,-1,0,0,0
ART,35075.04167,0,0,0,Weekday,5,0.041666667,35075,-1,0,0,0
ART,35075.08333,0,0,0,Weekday,5,0.083333333,35075,-1,0,0,0
ART,35075.125,0,0,0,Weekday,5,0.125,35075,-1,0,0,0
ART,35075.16667,0,0,0,Weekday,5,0.166666667,35075,-1,0,0,0
ART,35075.20833,3,0,0.616666667,Weekday,5,0.208333333,35075,-1,0,0,1.9984E-14
ART,35075.25,3,0,4.066666667,Weekday,5,0.25,35075,-1,0,0,0
ART,35075.29167,2,4,5.85,Weekday,5,0.291666667,35075,-1,0,1,-1
ART,35075.33333,5,3,4.55,Weekday,5,0.333333333,35075,-1,0,-1,-9.76996E-15
ART,35075.375,3,3,5.016666667,Weekday,5,0.375,35075,-1,0,0,-1.95399E-14
ART,35075.41667,2,3,4.166666667,Weekday,5,0.416666667,35075,-1,0,2,-2
ART,35075.45833,6,3,4.8,Weekday,5,0.458333333,35075,-1,0,-2,-3.9968E-14
ART,35075.5,1,3,7.1,Weekday,5,0.5,35075,-1,0,0,9.76996E-15
ART,35075.54167,2,5,3.45,Weekday,5,0.541666667,35075,-1,0,0,0
ART,35075.58333,3,3,3.4,Weekday,5,0.583333333,35075,-1,0,0,1.9984E-14
ART,35075.625,0,2,1.75,Weekday,5,0.625,35075,-1,0,0,0
ART,35075.66667,0,1,0.166666667,Weekday,5,0.666666667,35075,-1,0,0,-2.00118E-14
ART,35075.70833,0,0,0,Weekday,5,0.708333333,35075,-1,0,0,0
ART,35075.75,0,0,0,Weekday,5,0.75,35075,-1,0,0,0
ART,35075.79167,0,0,0,Weekday,5,0.791666667,35075,-1,0,0,0
ART,35075.83333,0,0,0,Weekday,5,0.833333333,35075,-1,0,0,0
ART,35075.875,0,0,0,Weekday,5,0.875,35075,-1,0,0,0
ART,35075.91667,0,0,0,Weekday,5,0.916666667,35075,-1,0,0,0
ART,35075.95833,0,0,0,Weekday,5,0.958333333,35075,-1,0,0,0
ART,35076,0,0,0,Weekday,6,0,35076,-1,0,0,0
ART,35076.04167,0,0,0,Weekday,6,0.041666667,35076,-1,0,0,0
ART,35076.08333,0,0,0,Weekday,6,0.083333333,35076,-1,0,0,0
ART,35076.125,0,0,0,Weekday,6,0.125,35076,-1,0,0,0
ART,35076.16667,0,0,0,Weekday,6,0.166666667,35076,-1,0,0,0
ART,35076.20833,2,0,0.366666667,Weekday,6,0.208333333,35076,-1,0,0,-8.04912E-15
ART,35076.25,5,0,3.616666667,Weekday,6,0.25,35076,-1,0,0,-9.76996E-15
